image_id,image,segmentation_mask
000039,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000039.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000039.png
000063,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000063.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000063.png
000121,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000121.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000121.png
000123,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000123.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000123.png
000170,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000170.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000170.png
000241,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000241.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000241.png
000323,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000323.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000323.png
000332,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000332.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000332.png
000363,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000363.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000363.png
000464,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000464.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000464.png
000480,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000480.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000480.png
000491,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000491.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000491.png
000515,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000515.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000515.png
000645,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000645.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000645.png
000661,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000661.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000661.png
000663,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000663.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000663.png
000676,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000676.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000676.png
000713,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000713.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000713.png
000720,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000720.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000720.png
000738,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000738.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000738.png
000799,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000799.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000799.png
000847,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000847.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000847.png
000862,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000862.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000862.png
000876,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/000876.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/000876.png
001027,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001027.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001027.png
001149,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001149.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001149.png
001154,./voc2007_trainval/VOCdevkit/VOC2007/JPEGImages/001154.jpg,./voc2007_trainval/VOCdevkit/VOC2007/SegmentationClass/001154.png
